score_id,pilot_id,corpus_id,content_type,risk_level,tool_anon,dimension,human_severity,human_notes,ai_severity,ai_notes,correction_note,status
S001,PILOT-001,MKT-011,营销文案,High,B,Terminology,Neutral,术语核查：本条为任务规划应用nudge的营销文案。产品名nudge保留原文小写形式，符合SaaS品牌名保留惯例；第三方平台名Slack与Discord保留原文；workspace译为工作区，全篇译法一致。替换测试：读者能准确识别产品名与功能指涉，无理解障碍。三问路径：Q1判定，读者读过去无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无术语问题。类型标注：无术语问题。,Neutral,术语核查：译文涉及产品名 nudge、平台名 Slack/Discord 及通用功能术语（tasks/deadlines/workspace）。产品名与平台名均正确保留英文原文，符合行业惯例。功能术语译法准确且全文一致，如 deadline 统一译为截止日期，workspace 译为工作区，tasks 译为任务，语义边界清晰无歧义。营销文案中的 nudge 概念虽被意译为拒绝...句式，但属于风格化适配而非术语误译，未造成功能指代混淆。替换测试：目标受众阅读流畅，无需回溯原文即可理解产品核心机制与定价信息。三问路径：Q1 判定为无需停顿，术语识别零障碍；Q2 不适用。结论：未发现术语一致性缺失、误译或品牌词处理不当问题。类型标注：无术语问题。,,ok
S002,PILOT-001,MKT-011,营销文案,High,B,Accuracy,Neutral,"原文核心命题全部保留：产品可自动规划任务、将文本转为任务、一键排期、锁定$5押金、集成Slack和Discord、限定单一工作区、定价$5/$20、面向独立开发者。译文将原文所有""Don't X""句式统一处理为""拒绝X""并添加修饰词（繁琐、手动、频繁、快速），属于修辞性增译（具体表现为营销语气渲染），未改变任何命题信息。
三问路径：Q1，读者阅读时无需停顿，表述流畅，定级Neutral。",Neutral,"原文命题清单：①nudge 规划整周行程；②无需手动创建任务，输入纯文本由 AI 转为带截止日期的任务；③无需手动规划日程，AI 一键根据睡眠、用餐及固定事件排期；④通过锁定 5 美元押金机制督促完成，完成并证明后不扣费；⑤支持从 Slack 和 Discord 捕获及重排任务，无需切换应用；⑥单一工作区避免迷失；⑦价格为首月 5 美元，之后每月 20 美元；⑧由东京一名 20 岁工科学生独立开发。译文表现判定：译文完整覆盖上述全部命题。各条目中""拒绝……""的句式属于修辞性增译（营销语气渲染），对应原文反复出现的 ""Don't..."" 结构，未引入新的事实、条件或因果关系，Accuracy 维度不扣分。""reschedule"" 译为""调整任务日程""准确传达了重新安排时间的含义。三问路径：Q1 读过去完全无需停顿，核心信息传达准确流畅，直接定级 Neutral。结论：Neutral。",,ok
S003,PILOT-001,MKT-011,营销文案,High,B,Locale Conventions,Neutral,5美元和20美元采用数字加货币名称格式，符合中文标准货币表达惯例。每月为中文标准频率表达。三问路径：Q1判定，读者无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无Locale问题。,Neutral,格式元素核查：译文涉及货币与数字表达。货币方面，原文'$5'、'$20/mo'均已本地化为'5 美元'、'每月 20 美元'，符合简体中文'数字+货币名称'的标准格式惯例；数字方面，'20yo'译为'20 岁'，格式规范。偏离说明：未发现任何格式偏离，所有数据类元素均已完成本地化转换且符合目标地区规范。三问路径：Q1判定，读者阅读流畅，无需停顿辨析，无感知异样；Q2不适用。维度交叉备注：译文内部货币格式统一（均为'X 美元'），无 Terminology 维度一致性问题。结论：Neutral，所有格式元素均符合目标地区惯例。,,ok
S004,PILOT-001,MKT-011,营销文案,High,B,Audience Appropriateness,Neutral,拒绝X句式加彻底解放和拒绝自我妥协，为典型的中国互联网营销文案话术，节奏感和冲击力强，契合年轻与效率工具受众。由一名东京20岁工科学生独立开发：叙事感自然，中文读者能感受到独立开发者的品牌人格。三问路径：Q1判定，读者无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无Audience问题。,Neutral,适配性核查：译文整体符合中文互联网营销文案规范，语域自然流畅。针对'Don't let yourself off'译为'拒绝自我妥协'，该表达属于中文自律与激励类文案的惯用短语，与原文语义及语域高度匹配，受众接受度高，不构成僵硬翻译或语域偏离（依据常见误判提醒第7条）。'拒绝繁琐输入''拒绝手动排期'等句式虽连续出现，但均为中文产品营销高频地道表达，未构成过度渲染导致的语气偏移（依据常见误判提醒第6条）。三问路径：Q1判定，目标受众阅读全程无需停顿辨析，理解即时完成；Q2不适用。维度交叉备注：本维度仅评估受众适配性，不涉及术语或准确性问题。结论：Neutral，内容在目标文化语境下自然恰当，无理解或接受障碍。,,ok
S005,PILOT-001,MKT-011,营销文案,High,C,Terminology,Neutral,术语核查：本条为任务规划应用nudge的营销文案。产品名nudge保留原文小写形式，符合SaaS品牌名保留惯例；第三方平台名Slack与Discord保留原文；workspace译为工作空间，全篇译法一致。替换测试：读者能准确识别产品名与功能指涉，无理解障碍。三问路径：Q1判定，读者读过去无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无术语问题。类型标注：无术语问题。,Neutral,术语核查：译文涉及产品名 nudge、平台名 Slack/Discord、功能词 workspace/deadline 等。nudge 作为品牌名保留英文，符合出海产品惯例；Slack 和 Discord 为专有名词未译，准确；workspace 译为工作空间、deadline 译为截止日期，均为行业通用标准译法；AI 保留英文缩写，符合中文科技语境习惯。术语一致性：单条译文内各术语前后统一，无歧义或撞车现象。替换测试：所有术语均符合目标受众认知模型，阅读流畅无感知异样。三问路径：Q1 判定无需停顿，直接定级 Neutral。维度交叉备注：本维度仅评估术语，不涉及文案风格或准确性。结论：未发现术语偏离或错误。类型标注：无术语问题。,,ok
S006,PILOT-001,MKT-011,营销文案,High,C,Accuracy,Neutral,"原文核心命题全部保留：自动规划、文本转任务、一键排期、锁定$5押金、Slack/Discord集成、单一工作区、定价$5/$20、面向独立开发者。译文采用""不用""""不要""""不会""句式，比""拒绝X""更贴近原文""Don't""的指令语气。""不要轻易放过自己""中的""轻易""为中文习语表达，不改变""锁定押金＝自我约束""的命题。
三问路径：Q1，读者无需停顿 → 定级 Neutral。",Minor,"原文命题清单：①nudge 规划整周；②无需创建任务，输入纯文本由 AI 转为带截止日期的任务；③无需手动规划日程，AI 根据睡眠、用餐和固定事件一键安排；④通过锁定 5 美元押金激励履约，完成并证明后免付；⑤支持从 Slack 和 Discord 捕获及重排任务，无需切换应用；⑥单一工作空间；⑦价格为首月 5 美元，之后每月 20 美元；⑧由东京一位 20 岁工程专业学生独立开发。译文表现判定：命题①至⑧的核心信息均完整传达。""Don't let yourself off"" 译为""不要轻易放过自己""属于修辞性增译（语气渲染），原文该短语在此语境下意为""不要对自己懈怠/降低标准""，译文增加了""轻易""这一程度修饰词，虽未改变""自我约束+押金机制""的核心命题，但引入了原文不存在的程度限定，属细微增添。三问路径：Q1 读者可感知""轻易""为译者添加的语气词，但不影响对押金规则的理解，无需停顿辨析；Q2 用户不会因""轻易""二字做出错误付费或操作决策，无实际代价。维度交叉备注：""engineering student"" 译为""工程专业学生""在中文语境中通常指""工程学科""而非特指""工程学学位""，存在轻微语义窄化，但替换测试通过（读者仍能正确理解开发者背景为理工科在校生），归 Terminology 维度，Accuracy 不扣分。结论：Minor。",,ok
S007,PILOT-001,MKT-011,营销文案,High,C,Locale Conventions,Neutral,5美元和20美元采用数字加货币名称格式，符合中文标准货币表达惯例。三问路径：Q1判定，读者无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无Locale问题。,Neutral,格式元素核查：译文涉及货币、数字及标点排版。货币方面，原文'$5'与'$20/mo'均已本地化为'5 美元'与'每月 20 美元'，符合简体中文'数字+货币名称'的标准格式惯例；数字方面，'20yo'译为'20 岁'，格式规范；标点排版方面，破折号使用全角'——'，列表符号统一，中英文混排间距自然。偏离说明：未发现任何偏离目标地区格式惯例的元素，所有数据类表达均已完成本地化转换。三问路径：Q1判定，读者阅读流畅，完全无需停顿或感知异样；Q2不适用。维度交叉备注：译文内部货币格式统一（均为'X 美元'），不存在 Terminology 维度的一致性问题。结论：Neutral，所有格式元素均符合目标地区惯例。,,ok
S008,PILOT-001,MKT-011,营销文案,High,C,Audience Appropriateness,Neutral,不用、不要、不会句式比拒绝X更贴近原文Don't的直接指令语气，偏向功能性描述。不要轻易放过自己中的轻易是中国自律类文案惯用措辞，避免绝对化带来的压迫感，符合中文受众对社会性劝说的接受习惯。三问路径：Q1判定，读者无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无Audience问题。,Neutral,适配性核查：译文整体语域符合中文效率工具类营销文案规范，表达自然流畅。针对关键表达逐项核查：1.「不用/无需/不会」排比句式为中文互联网产品营销高频地道表达，受众接受度高，不构成语域偏离；2.「不要轻易放过自己」准确对应原文自律激励语境，属中文同类文案惯用短语，无僵硬翻译感；3.「一键」「只需」等均为本土化高频词，无文化隔阂；4. 价格与开发者背景信息陈述客观，无敏感或冒犯内容。三问路径：Q1判定，目标受众阅读全程无需停顿辨析，无感知异样。维度交叉备注：未发现与其他维度已知结论矛盾的Q1判定。结论：Neutral，内容在目标文化语境下自然恰当，无理解或接受障碍。,,ok
S009,PILOT-001,MKT-011,营销文案,High,A,Terminology,Neutral,术语核查：本条为任务规划应用nudge的营销文案。产品名nudge保留原文小写形式，符合SaaS品牌名保留惯例；第三方平台名Slack与Discord保留原文；workspace译为工作空间，全篇译法一致。替换测试：读者能准确识别产品名与功能指涉，无理解障碍。三问路径：Q1判定，读者读过去无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无术语问题。类型标注：无术语问题。,Neutral,术语核查：译文涉及产品名 nudge、第三方平台 Slack/Discord 及通用功能词（tasks/deadlines/workspace）。产品名 nudge 保留英文，符合品牌词处理惯例；Slack 和 Discord 准确保留原名；'tasks'译为'任务'、'deadlines'译为'截止日期'、'workspace'译为'工作空间'，均为行业通行标准译法。术语一致性：单条译文内各术语前后统一，无歧义或撞车现象。语义边界：所有术语含义与原文对等，未出现缩小或扩大。三问路径：Q1判定为无需停顿，术语识别自然流畅，无感知异样。结论：未发现术语偏离或错误，定级 Neutral。类型标注：无术语问题。,,ok
S010,PILOT-001,MKT-011,营销文案,High,A,Accuracy,Neutral,"原文核心命题全部保留：自动规划、文本转任务、一键排期、锁定$5押金、Slack/Discord集成、单一工作区、定价$5/$20、面向独立开发者。""让你无需操心""中的""操心""比原文""so you don't have to [plan]""的隐含范围略宽，但核心命题（nudge实现自动化规划）无损。
三问路径：Q1，读者无需停顿 → 定级 Neutral。",Neutral,原文命题清单：①nudge 规划一周，用户无需操心；②无需手动创建任务，输入纯文本由 AI 转化为带截止日期的任务；③无需手动规划日程，AI 一键根据睡眠、用餐和固定事项自动安排；④通过锁定 5 美元押金防止松懈，完成并证明后免付；⑤无需切换应用，支持在 Slack 和 Discord 中捕捉和重排任务；⑥单一工作空间避免迷失；⑦价格为首月 5 美元，之后每月 20 美元；⑧由东京一名 20 岁工程专业学生独立开发。译文表现判定：译文完整覆盖上述全部 8 项命题，信息无遗漏、无扭曲、无增添。'Don't let yourself off' 译为'别让自己松懈'准确传达了自我约束的语义；'Lock $5 on a deadline' 译为'锁定 5 美元在截止日期上'虽略显直译，但结合下文'完成任务并证明——你分文不付'，核心机制（押金+履约退款）传达准确，不构成理解障碍。增译类型标注：未发现命题性增译或修辞性增译。三问路径：Q1 读过去完全无需停顿、无感知异样，直接定级 Neutral。维度交叉备注：无术语误译导致心理模型偏移的情况。结论：Neutral。,,ok
